"101","32","0","0","0","0","0","0"
"102","0","0","0","0","0","0","0"
"103","0","0","0","0","0","0","0"
"104","0","0","0","0","0","0","0"
"105","0","0","0","0","0","0","0"
"106","48","53","23","7","23","4","3"
"107","100","102","27","7","17","4","3"
"108","126","134","24","7","17","5","4"
"109","31","18","51","8","34","2","0"
"110","10","4","49","6","8","1","0"
"111","27","8","50","9","18","2","0"
"112","49","27","39","8","19","4","2"
"113","10","8","32","8","47","3","0"
"114","6","6","31","8","20","2","0"
"115","159","0","0","0","0","0","0"
"116","17","0","0","0","0","0","0"
"117","29","0","0","0","0","0","0"
"118","25","16","31","7","14","3","0"
"119","123","56","31","8","44","4","2"
"120","37","10","54","9","22","2","0"
"121","56","49","27","4","16","4","4"
"122","24","0","0","0","0","0","0"
"123","119","0","0","0","0","0","0"
"124","114","0","0","0","0","0","0"
"125","47","46","38","8","7","3","1"
"126","136","127","26","6","18","5","2"
"127","40","54","24","8","21","4","2"
"128","110","14","19","7","13","5","6"
"129","29","22","41","8","24","3","0"
"130","48","59","25","8","26","3","0"
"131","148","0","0","0","0","0","0"
"132","103","0","0","0","0","0","0"
"133","55","0","0","0","0","0","0"
"134","7","0","0","0","0","0","0"
"135","149","41","33","7","20","3","0"
"136","43","43","25","7","17","3","0"
"137","129","136","25","7","20","17","4"
"138","13","17","22","8","6","3","0"
"139","149","0","0","0","0","0","0"
"140","15","18","24","8","35","3","0"
"141","82","95","21","6","19","5","8"
"142","94","91","29","8","24","4","3"
"143","26","36","19","7","20","4","1"
"144","14","15","32","8","19","3","0"
"145","149","0","0","0","0","0","0"
"146","101","0","0","0","0","0","0"
"147","64","0","0","0","0","0","0"
"148","170","0","0","0","0","0","0"
"149","80","21","32","7","14","2","0"
"150","102","86","28","7","29","4","1"
"151","41","30","26","7","18","4","0"
"152","129","0","0","0","0","0","0"
"153","10","0","0","0","0","0","0"
"154","38","45","23","8","14","4","2"
"155","12","11","29","7","9","4","2"
"156","56","70","22","7","25","4","2"
"157","161","0","0","0","0","0","0"
"158","65","0","0","0","0","0","0"
"159","106","122","22","8","22","4","2"
"160","91","26","31","9","8","4","1"
"161","60","59","30","8","16","5","3"
"162","138","82","30","7","16","5","4"
"163","152","0","0","0","0","0","0"
"164","103","0","0","0","0","0","0"
"165","59","58","26","7","21","4","2"
"166","75","83","25","8","14","4","2"
"167","56","71","22","7","20","4","2"
"168","42","38","32","8","16","3","0"
"169","76","58","38","8","12","5","2"
"170","6","2","57","9","26","1","0"
"171","53","0","0","0","0","0","0"
"172","111","0","0","0","0","0","0"
"173","69","0","0","0","0","0","0"
"174","14","0","0","0","0","0","0"
"175","12","12","26","7","18","3","0"
"176","159","0","0","0","0","0","0"
"177","88","106","23","7","10","4","2"
"178","90","111","21","7","19","5","3"
"179","11","19","14","7","19","6","2"
"180","47","56","23","8","17","5","3"
